DATE              MODEL                 MARKET            CUSTOMER                  SUBTOTAL    FINANCING       NOTES
2025-02-01        Tesla Model S         CONSUMER          Morgan Montague              92010    72   
2025-02-02        Tesla Model X         CONSUMER          Frankie Fairchild           100640    36   
2025-02-03        Tesla Model S         COMMERCIAL        Fairchild Group Inc.         92130    36   
2025-02-04        Tesla Model Y         COMMERCIAL        Radcliffe Group Inc.         51730    60   
2025-02-05        Tesla Model S         COMMERCIAL        Lancaster Group Inc.         93860    84   
2025-02-06        Tesla Model S         CONSUMER          Jordan Kensington            90130    60   
2025-02-07        Tesla Model X         CONSUMER          Taylor Holloway             101810    60   
2025-02-08        Tesla Model X         CONSUMER          Logan Holloway               99510    36   
2025-02-09        Tesla Model X         CONSUMER          Jamie Lancaster              97040    36   
2025-02-10        Tesla Model S         COMMERCIAL        Kensington Group Inc.        91310    36   
2025-02-11        Tesla Model 3         COMMERCIAL        Radcliffe Group Inc.         45940    72   
2025-02-12        Tesla Roadster        COMMERCIAL        Winslow Group Inc.          200020    48   
2025-02-13        Tesla Roadster        COMMERCIAL        Holloway Group Inc.         202550    60   
2025-02-14        Tesla Model Y         COMMERCIAL        Ashford Group Inc.           53680    36   
2025-02-15        Tesla Model 3         CONSUMER          Jordan Ashford               46650    48   
2025-02-16        Tesla Roadster        COMMERCIAL        Callahan Group Inc.         200100    36   
2025-02-17        Tesla Model 3         CONSUMER          Casey Pennington             45530    48   
2025-02-18        Tesla Model Y         CONSUMER          Peyton Underwood             52550    72   
2025-02-19        Tesla Model 3         COMMERCIAL        Radcliffe Group Inc.         44180    60   
2025-02-20        Tesla Roadster        COMMERCIAL        Winslow Group Inc.          204450    48   
2025-02-21        Tesla Model Y         COMMERCIAL        Ashford Group Inc.           53260    48   
2025-02-22        Tesla Model X         COMMERCIAL        Kensington Group Inc.        98310    48   
2025-02-23        Tesla Model 3         COMMERCIAL        Underwood Group Inc.         44850    84   
2025-02-24        Tesla Model S         COMMERCIAL        Callahan Group Inc.          93770    48   
2025-02-25        Tesla Roadster        CONSUMER          Cameron Underwood           201130    36   
2025-02-26        Tesla Model S         CONSUMER          Taylor Kensington            93530    60   
